file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uuf50-0239.cnf,79,649,11,79,0.04513,0.044974,0.000472,UNSAT
uuf50-024.cnf,145,1053,9,145,0.0794,0.079152,0.000692,UNSAT
uuf50-0240.cnf,51,394,8,51,0.030914,0.030116,0.001783,UNSAT
uuf50-0241.cnf,89,581,4,89,0.048525,0.048411,0.000464,UNSAT
uuf50-0242.cnf,99,597,10,99,0.053813,0.053684,0.000458,UNSAT
uuf50-0243.cnf,109,718,8,109,0.053662,0.053527,0.000563,UNSAT
uuf50-0244.cnf,153,1107,1,153,0.082403,0.081801,0.002738,UNSAT
uuf50-0245.cnf,99,672,11,99,0.049141,0.048975,0.000478,UNSAT
uuf50-0246.cnf,123,819,17,123,0.055502,0.055378,0.0005,UNSAT
uuf50-0247.cnf,119,978,9,119,0.069599,0.069293,0.000759,UNSAT
uuf50-0248.cnf,169,1009,15,169,0.083423,0.083106,0.000671,UNSAT
uuf50-0249.cnf,195,1403,6,195,0.10315,0.102822,0.000662,UNSAT
uuf50-025.cnf,77,602,4,77,0.042799,0.042647,0.000456,UNSAT
uuf50-0250.cnf,63,435,4,63,0.036385,0.036242,0.000456,UNSAT
uuf50-0251.cnf,193,1279,8,193,0.103318,0.102326,0.003179,UNSAT
uuf50-0252.cnf,185,1445,29,185,0.085362,0.085179,0.000641,UNSAT
uuf50-0253.cnf,99,721,3,99,0.056981,0.056783,0.000553,UNSAT
uuf50-0254.cnf,139,1032,10,139,0.07297,0.072785,0.000583,UNSAT
uuf50-0255.cnf,143,1095,4,143,0.075989,0.075825,0.000555,UNSAT
uuf50-0256.cnf,133,987,8,133,0.069026,0.068747,0.000651,UNSAT
uuf50-0257.cnf,185,1429,11,185,0.0926,0.092294,0.000739,UNSAT
uuf50-0258.cnf,87,554,11,87,0.046039,0.045837,0.00062,UNSAT
uuf50-0259.cnf,55,359,4,55,0.032323,0.032189,0.000424,UNSAT
uuf50-026.cnf,89,505,6,89,0.047688,0.047557,0.000421,UNSAT
uuf50-0260.cnf,107,710,6,107,0.059892,0.059657,0.000504,UNSAT
uuf50-0261.cnf,89,603,2,89,0.049823,0.049725,0.000477,UNSAT
uuf50-0262.cnf,115,846,15,115,0.05396,0.053773,0.000547,UNSAT
uuf50-0263.cnf,105,771,11,105,0.048897,0.048761,0.000462,UNSAT
uuf50-0264.cnf,105,846,5,105,0.056365,0.056191,0.000566,UNSAT
uuf50-0265.cnf,89,669,12,89,0.046974,0.046873,0.000426,UNSAT
uuf50-0266.cnf,111,726,12,111,0.053131,0.052899,0.0006,UNSAT
uuf50-0267.cnf,179,1343,18,179,0.087036,0.086811,0.000589,UNSAT
uuf50-0268.cnf,91,671,4,91,0.052046,0.051933,0.000479,UNSAT
uuf50-0269.cnf,89,620,0,89,0.053245,0.053074,0.000551,UNSAT
uuf50-027.cnf,161,1179,19,161,0.083162,0.083023,0.000528,UNSAT
uuf50-0270.cnf,47,361,2,47,0.029413,0.029346,0.000339,UNSAT
uuf50-0271.cnf,85,557,20,85,0.044433,0.044249,0.000546,UNSAT
uuf50-0272.cnf,153,954,23,153,0.074227,0.073997,0.000593,UNSAT
uuf50-0273.cnf,121,811,5,121,0.063949,0.063757,0.000605,UNSAT
uuf50-0274.cnf,71,418,2,71,0.034383,0.034311,0.000319,UNSAT
uuf50-0275.cnf,231,1702,20,231,0.115496,0.115158,0.000703,UNSAT
uuf50-0276.cnf,109,828,5,109,0.059354,0.058981,0.001197,UNSAT
uuf50-0277.cnf,121,811,19,121,0.055805,0.055569,0.000603,UNSAT
uuf50-0278.cnf,113,783,8,113,0.055673,0.054814,0.00334,UNSAT
uuf50-0279.cnf,71,506,11,71,0.036469,0.036314,0.000483,UNSAT
uuf50-028.cnf,97,753,11,97,0.049301,0.049143,0.000493,UNSAT
uuf50-0280.cnf,133,897,7,133,0.068057,0.067036,0.003575,UNSAT
uuf50-0281.cnf,111,877,9,111,0.054316,0.054092,0.000579,UNSAT
uuf50-0282.cnf,111,813,26,111,0.052433,0.052187,0.000597,UNSAT
uuf50-0283.cnf,107,783,8,107,0.05804,0.057908,0.000463,UNSAT
uuf50-0284.cnf,111,755,10,111,0.060499,0.060231,0.000663,UNSAT
uuf50-0285.cnf,99,735,19,99,0.050638,0.050454,0.000563,UNSAT
uuf50-0286.cnf,85,624,10,85,0.045834,0.045727,0.000424,UNSAT
uuf50-0287.cnf,149,1090,26,149,0.070739,0.070443,0.000655,UNSAT
uuf50-0288.cnf,69,493,4,69,0.036145,0.036044,0.000351,UNSAT
uuf50-0289.cnf,101,718,4,101,0.051636,0.051528,0.000588,UNSAT
uuf50-029.cnf,113,862,25,113,0.055208,0.055105,0.000416,UNSAT
uuf50-0290.cnf,61,468,6,61,0.036111,0.035986,0.000516,UNSAT
uuf50-0291.cnf,135,865,23,135,0.05998,0.059862,0.000441,UNSAT
uuf50-0292.cnf,103,665,10,103,0.051838,0.051678,0.000529,UNSAT
uuf50-0293.cnf,71,437,9,71,0.037683,0.037528,0.000422,UNSAT
uuf50-0294.cnf,121,777,16,121,0.06079,0.059827,0.002845,UNSAT
uuf50-0295.cnf,165,1196,13,165,0.085529,0.085277,0.0006,UNSAT
uuf50-0296.cnf,75,517,2,75,0.040973,0.040913,0.000354,UNSAT
uuf50-0297.cnf,149,910,10,149,0.074787,0.074519,0.000636,UNSAT
uuf50-0298.cnf,91,710,5,91,0.052557,0.052338,0.000528,UNSAT
uuf50-0299.cnf,173,1305,29,173,0.080808,0.080601,0.000585,UNSAT
