file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uf50-0286.cnf,150,1085,16,141,0.067634,0.067414,0.000547,SAT
uf50-0287.cnf,28,207,5,22,0.016326,0.016259,0.000327,SAT
uf50-0288.cnf,134,887,13,121,0.071202,0.071006,0.000558,SAT
uf50-0289.cnf,35,237,5,23,0.015853,0.01579,0.000318,SAT
uf50-029.cnf,46,258,10,36,0.020644,0.020585,0.000339,SAT
uf50-0290.cnf,35,249,9,26,0.019006,0.019008,4.7e-05,SAT
uf50-0291.cnf,17,150,3,9,0.010088,0.009999,0.000332,SAT
uf50-0292.cnf,106,794,16,98,0.050473,0.050364,0.000434,SAT
uf50-0293.cnf,45,310,14,35,0.022088,0.022001,0.00035,SAT
uf50-0294.cnf,22,135,6,13,0.013942,0.013945,4.2e-05,SAT
uf50-0295.cnf,11,61,4,2,0.007125,0.007045,0.000327,SAT
uf50-0296.cnf,34,203,8,27,0.01552,0.015512,5.4e-05,SAT
uf50-0297.cnf,61,375,4,55,0.033453,0.033332,0.000446,SAT
uf50-0298.cnf,89,687,8,81,0.050903,0.05075,0.000432,SAT
uf50-0299.cnf,39,224,11,25,0.016329,0.016264,0.000358,SAT
uf50-03.cnf,55,412,26,43,0.027232,0.027155,0.000347,SAT
uf50-030.cnf,77,551,8,70,0.040952,0.040818,0.000455,SAT
uf50-0300.cnf,91,611,14,82,0.04587,0.045721,0.000483,SAT
uf50-0301.cnf,137,1070,10,128,0.071599,0.071388,0.000527,SAT
uf50-0302.cnf,21,155,6,12,0.011227,0.011222,4.5e-05,SAT
uf50-0303.cnf,151,1087,20,141,0.072715,0.072404,0.000673,SAT
uf50-0304.cnf,40,273,7,28,0.018866,0.018793,0.000319,SAT
uf50-0305.cnf,9,47,8,2,0.005179,0.005177,3e-05,SAT
uf50-0306.cnf,7,38,2,0,0.00534,0.005337,3e-05,SAT
uf50-0307.cnf,36,238,4,25,0.018478,0.018416,0.000319,SAT
uf50-0308.cnf,7,38,4,0,0.005534,0.00553,3.6e-05,SAT
uf50-0309.cnf,41,323,11,32,0.020465,0.020385,0.000325,SAT
uf50-031.cnf,87,585,24,76,0.040125,0.039969,0.000482,SAT
uf50-0310.cnf,17,105,9,8,0.006772,0.006703,0.00032,SAT
uf50-0311.cnf,20,148,1,13,0.011859,0.011852,6.8e-05,SAT
uf50-0312.cnf,33,200,2,24,0.016945,0.016875,0.00033,SAT
uf50-0313.cnf,20,166,3,11,0.011282,0.011225,0.000305,SAT
uf50-0314.cnf,18,111,8,10,0.006974,0.00698,3.4e-05,SAT
uf50-0315.cnf,22,135,8,11,0.011064,0.010994,0.000343,SAT
uf50-0316.cnf,13,55,4,2,0.007262,0.007258,2.8e-05,SAT
uf50-0317.cnf,10,33,7,0,0.00601,0.006001,2.3e-05,SAT
uf50-0318.cnf,72,516,16,63,0.037414,0.036863,0.001319,SAT
uf50-0319.cnf,58,310,12,50,0.026482,0.026384,0.000371,SAT
uf50-032.cnf,211,1434,32,198,0.096168,0.095795,0.000771,SAT
uf50-0320.cnf,21,189,2,15,0.014463,0.014362,0.000324,SAT
uf50-0321.cnf,35,271,11,25,0.016053,0.015979,0.000351,SAT
uf50-0322.cnf,104,668,9,94,0.056315,0.056157,0.000484,SAT
uf50-0323.cnf,68,538,24,59,0.034127,0.033959,0.00053,SAT
uf50-0324.cnf,32,227,6,22,0.016676,0.016582,0.000366,SAT
uf50-0325.cnf,130,1000,3,121,0.069186,0.069035,0.000545,SAT
uf50-0326.cnf,41,340,4,32,0.024825,0.024765,0.000357,SAT
uf50-0327.cnf,39,312,6,32,0.022994,0.022907,0.000383,SAT
uf50-0328.cnf,47,327,8,34,0.026283,0.026227,0.000356,SAT
uf50-0329.cnf,145,813,34,134,0.066154,0.065929,0.000573,SAT
uf50-033.cnf,46,338,6,37,0.026033,0.025881,0.000467,SAT
uf50-0330.cnf,67,501,17,56,0.033509,0.033432,0.000365,SAT
uf50-0331.cnf,38,263,6,30,0.018947,0.018878,0.000356,SAT
uf50-0332.cnf,20,109,7,6,0.009375,0.009291,0.000328,SAT
uf50-0333.cnf,118,868,11,110,0.060586,0.060422,0.000532,SAT
uf50-0334.cnf,63,497,4,55,0.036545,0.036392,0.000452,SAT
uf50-0335.cnf,37,208,16,24,0.011653,0.011579,0.000339,SAT
uf50-0336.cnf,52,380,6,42,0.025462,0.025387,0.000353,SAT
uf50-0337.cnf,8,38,5,0,0.004446,0.004449,2.6e-05,SAT
uf50-0338.cnf,92,631,10,84,0.047976,0.047816,0.000462,SAT
uf50-0339.cnf,138,910,21,131,0.06465,0.064413,0.000631,SAT
uf50-034.cnf,95,724,10,87,0.043668,0.042811,0.003093,SAT
uf50-0340.cnf,9,56,6,1,0.006035,0.006025,3.6e-05,SAT
uf50-0341.cnf,89,561,18,81,0.039691,0.039528,0.000496,SAT
uf50-0342.cnf,13,119,7,6,0.008394,0.008391,4.1e-05,SAT
uf50-0343.cnf,63,381,19,51,0.029187,0.029043,0.000458,SAT
uf50-0344.cnf,37,273,10,26,0.017418,0.017412,3.5e-05,SAT
uf50-0345.cnf,108,838,14,101,0.055923,0.055683,0.000643,SAT
uf50-0346.cnf,49,400,4,41,0.029791,0.029631,0.000478,SAT
